0.610553:5.07434 2.58215:3.48513 1.46818:4.86658 1.56776:4.62816 
2.28006:3.27062 1.49529:4.54194 1.67773:5.76762 1.71826:5.23768 
1.98268:5.42795 0.61304:5.04757 1.14538:4.85501 1.98057:6.06841 
0.61304:5.04757 2.59278:3.46932 1.46075:4.87736 1.57448:4.61677 
0.608091:2.7792 1.10204:5.35488 2.60089:1.68965 0.433061:4.91512 
1.02217:1.21465 0.871252:2.19824 2.30805:1.40299 2.58149:2.6331 
1.92415:1.03584 0.511209:1.51903 0.701414:1.01008 0.521838:0.130931 
2.27504:2.08252 1.06723:2.9204 1.72097:0.313367 1.37901:2.85882 
1.78239:4.43141 1.95322:5.03195 2.11763:3.5414 2.35958:4.73734 
2.20293:4.70185 1.29262:4.55514 2.30699:4.73245 2.11622:5.05142 
2.11622:5.05142 2.63364:4.3447 0.262736:5.00336 0.556046:4.20744 
0.724656:3.74626 1.51551:5.35727 2.96846:6.09135 0.60147:3.49607 
2.50557:3.70545 2.12049:4.66651 1.04054:4.39477 1.69979:4.17475 
1.19515:5.00159 0.562848:4.74764 0.74735:5.39859 0.988622:5.24579 
1.00664:5.55274 2.91638:4.57642 0.264734:4.69878 0.494501:4.17548 
0.436728:4.84608 1.41631:3.92582 2.2466:3.8467 0.654813:5.07321 
0.494501:4.17548 0.437003:4.02038 1.15408:5.66281 0.597653:4.68692 
0.597653:4.68692 2.78782:5.24988 0.711039:4.62167 0.612599:4.16117 
0.612599:4.16117 1.09135:4.80826 1.83116:4.66754 1.98364:4.93696 
0.662104:3.18207 1.14283:3.71192 1.68251:5.69271 1.37452:3.35303 
2.19436:0.31672 2.19668:2.82062 0.345798:2.96802 2.85177:0.548993 
1.99449:2.78818 2.81144:0.353621 2.14044:0.503957 2.60338:1.08754 
0.104002:2.00502 1.64959:0.751745 1.70185:2.18634 1.14754:0.538626 
1.2986:0.0265352 2.19159:2.06896 1.52808:2.61093 1.61235:0.458473 
2.10974:1.15625 2.00206:0.981278 1.4275:2.93271 2.71384:1.81162 
1.07326:1.07957 0.934865:1.75687 0.361056:1.42907 0.662217:2.10102 
0.662217:2.10102 2.25157:1.68555 0.506977:2.23407 0.796768:1.99161 
1.1748:2.24928 2.50319:0.338791 0.693207:1.2067 1.35146:2.26705 
2.70915:0.712778 2.07161:4.26745 0.600329:1.32536 2.61489:1.81489 
2.10815:1.8254 2.28431:1.05495 0.592262:2.17458 0.722778:0.57303 
1.05902:2.05255 2.48885:1.62539 2.51121:2.51593 2.7059:2.84047 
0.992561:3.95152 1.32833:5.8043 2.41197:5.01066 1.18307:4.20379 
2.03712:5.31 2.1686:5.63925 1.30557:4.27146 1.96625:4.68029 
1.33357:4.88741 1.158:4.26917 0.90298:5.74815 0.866342:4.44107 
0.916871:4.54541 1.81893:5.00507 0.797932:4.56072 1.05232:4.26675 
1.05232:4.26675 0.411119:4.65753 2.96571:3.69338 2.55211:5.349 
1.53766:4.00426 2.17191:3.69082 0.915995:6.16509 1.88231:3.27038 
2.55205:2.26135 1.62465:1.06372 2.1788:0.960322 2.60854:2.5482 
1.22921:1.40947 0.834943:2.49154 2.07931:1.16503 1.0709:1.74777 
0.674369:2.34712 2.16136:1.11181 0.927177:1.65737 1.87313:0.742219 
0.753941:2.84593 0.912811:1.86462 2.06123:2.20712 1.49142:2.06867 
2.24606:1.53427 1.25027:0.0103165 1.17634:2.50557 1.84186:2.72653 
1.1123:2.22627 0.921434:0.0365049 2.14775:1.44844 2.65013:2.04374 
1.00173:1.48243 0.969506:2.0407 1.00226:2.40052 2.36888:0.6763 
0.552944:1.11202 0.878362:1.05124 2.7821:2.21648 0.437415:2.44818 
2.7058:0.279239 2.71847:1.86934 1.87538:0.454909 2.47123:1.41607 
2.56481:1.30025 0.238979:1.47988 2.42512:1.23796 2.57922:1.72141 
2.57922:1.72141 2.01295:1.24954 1.31366:1.89505 0.995133:1.53903 
2.63651:2.89748 2.08593:2.64584 1.34485:0.446139 1.54646:3.05483 
1.5122:5.0938 0.698096:3.71992 1.9733:4.28765 1.36433:5.16049 
1.56649:1.12621 0.436556:2.89255 2.84069:0.447008 2.03065:2.49635 
2.44127:0.646937 1.21117:1.34343 0.486672:0.0455611 0.742431:0.763613 
2.56911:6.23107 1.93102:3.72544 0.110196:3.47885 1.4329:4.91777 
1.5913:4.45894 1.42477:4.30022 1.28132:4.892 1.81936:5.15542 
0.621629:5.0589 1.45154:4.83657 1.80398:3.64494 1.68965:4.63258 
1.60274:4.56076 1.83532:4.70111 1.74176:4.52401 1.58521:4.81072 
1.58521:4.81072 2.08396:4.3756 0.864731:1.16162 1.09627:4.65625 
1.19219:5.24245 0.887004:5.99732 2.10213:3.16103 1.45948:6.13335 
0.595612:0.0313855 1.72134:2.30041 0.544242:1.87468 0.662881:0.282554 
2.88901:0.502694 1.28734:2.05211 1.59936:1.20183 0.88825:2.34785 
1.99732:1.04145 2.79614:1.35542 1.64035:1.10597 2.15234:1.09394 
1.7956:0.894642 1.97734:2.69046 1.40432:1.77403 0.393824:0.197913 
2.68742:3.05957 2.48559:2.84817 0.404848:0.587829 2.86026:0.420743 
0.942281:1.29602 0.314633:0.143222 0.935036:2.65632 0.257219:1.01235 
0.150231:1.19156 2.89056:2.37292 0.283581:1.45349 0.316793:0.298652 
0.316793:0.298652 0.641301:1.67848 2.29904:1.4535 2.50709:2.05268 
0.748588:0.54917 1.43048:0.781251 1.44478:2.48184 1.60061:0.219536 
1.76666:4.81252 2.19098:4.99179 1.17871:3.68306 1.28356:4.67462 
2.05478:2.3228 2.52164:0.0327371 0.722203:2.99542 2.00333:1.66416 
1.38704:4.3017 1.76996:5.75562 1.52747:4.15133 1.58231:3.9618 
1.64477:5.30959 2.60118:5.12254 2.93047:1.54518 0.249274:2.7338 
2.93047:1.54518 1.6126:4.56392 1.16558:6.09106 3.05588:3.04194 
0.249274:2.7338 0.489448:1.22855 0.991537:2.35629 2.70838:2.72438 
2.01311:0.696394 2.50147:0.57731 1.03803:2.73945 2.47029:0.454606 
1.43035:2.70751 0.834737:2.91347 0.419155:0.36407 0.631027:2.36183 
