0.954915:5.37568 0.472804:5.9719 2.4333:3.80902 
0.264734:4.69878 2.13812:4.72472 0.278938:4.3547 
2.13812:4.72472 2.14134:4.69609 2.34598:3.7155 
2.14134:4.69609 2.07465:4.45785 0.436728:4.84608 
0.797313:5.69666 1.28805:3.70552 2.13724:6.02771 
1.83887:3.5072 2.06587:5.55101 1.14908:3.41067 
1.93644:3.989 1.1399:4.19267 1.56258:5.08992 
0.358702:5.67525 0.256769:4.52104 0.338606:4.79162 
1.38701:5.80382 1.02668:3.48733 1.94259:6.16353 
0.521548:4.55341 0.226192:5.09048 0.215882:6.2619 
1.72984:1.41972 1.60232:0.610718 1.93707:1.18194 
1.49373:0.311531 2.31365:0.509329 1.10122:3.02741 
1.82797:3.01592 1.65027:3.03664 1.82704:0.0128951 
1.37702:2.76561 1.99449:2.78818 2.94976:3.11603 
2.18389:1.79067 0.764185:0.683395 2.31753:1.93266 
1.5108:1.75454 1.65691:0.393233 1.33232:1.8904 
0.553438:2.71539 0.838285:2.58744 1.27649:0.174955 
1.84615:3.04067 1.348:0.986833 1.60449:0.478336 
1.39772:0.134277 0.866557:0.447635 2.15183:2.89555 
1.52808:2.61093 1.46236:2.56274 2.11612:2.9673 
0.124681:0.365877 1.58343:2.13173 1.82643:1.04666 
1.17219:0.432084 1.13584:1.96093 1.10609:0.550382 
1.51352:0.689793 2.02469:6.20668 2.02929:0.653556 
2.28146:0.922977 3.0216:2.39479 0.433288:2.81372 
1.01186:2.30659 0.98524:2.66968 2.63521:0.39331 
0.805022:2.61121 1.05902:2.05255 2.06387:2.29283 
2.58109:1.45646 2.2115:2.97523 0.866851:1.16581 
0.968141:1.25405 2.08375:0.191303 1.24106:2.33135 
2.08375:0.191303 2.08937:0.2407 0.785857:2.27061 
1.24106:2.33135 1.36958:2.92056 1.80081:0.268548 
0.280429:4.50961 0.639274:3.97515 2.26284:5.40176 
0.639274:3.97515 0.900993:4.62027 2.08832:5.14598 
2.06072:5.12561 2.22317:5.1565 1.09547:5.13207 
2.19476:4.93929 2.48807:6.16102 0.686726:3.25222 
2.09169:5.40969 1.57006:5.14748 1.32418:4.24137 
